x,density,Estimators
3.948542856894552e-05,47.3626585274483,Welsch
4.264898750962187e-05,52.09324163224244,Welsch
4.581254645029822e-05,57.18563955434024,Welsch
4.8976105390974566e-05,62.65871355656122,Welsch
5.2139664331650926e-05,68.53170253862119,Welsch
5.530322327232727e-05,74.82412769974283,Welsch
5.846678221300362e-05,81.55567120611997,Welsch
6.163034115367998e-05,88.74602783038085,Welsch
6.479390009435634e-05,96.41472950895968,Welsch
6.795745903503268e-05,104.58094386089336,Welsch
7.112101797570903e-05,113.2632488836613,Welsch
7.428457691638539e-05,122.47938723592684,Welsch
7.744813585706173e-05,132.24600467548123,Welsch
8.061169479773808e-05,142.5783782829919,Welsch
8.377525373841444e-05,153.49014100890506,Welsch
8.69388126790908e-05,164.99300977744548,Welsch
9.010237161976714e-05,177.09652482157242,Welsch
9.326593056044348e-05,189.80780807123435,Welsch
9.642948950111984e-05,203.1313482535812,Welsch
9.95930484417962e-05,217.0688198835064,Welsch
0.0001027566073824,231.61894253854217,Welsch
0.0001059201663231,246.77738575303056,Welsch
0.0001090837252638,262.5367235776737,Welsch
0.0001122472842045,278.8864413898134,Welsch
0.0001154108431451,295.81299597490033,Welsch
0.0001185744020858,313.29992830361795,Welsch
0.0001217379610265,331.3280268761395,Welsch
0.0001249015199672,349.8755380652591,Welsch
0.0001280650789078,368.918418625481,Welsch
0.0001312286378485,388.43062449525047,Welsch
0.0001343921967892,408.3844292385096,Welsch
0.0001375557557299,428.750764966849,Welsch
0.0001407193146705,449.4995783537768,Welsch
0.0001438828736112,470.6001943803851,Welsch
0.0001470464325519,492.0216807041629,Welsch
0.0001502099914926,513.7332059757239,Welsch
0.0001533735504332,535.7043859899114,Welsch
0.0001565371093739,557.9056121937455,Welsch
0.0001597006683146,580.308357731585,Welsch
0.0001628642272553,602.8854568420115,Welsch
0.0001660277861959,625.611353996056,Welsch
0.0001691913451366,648.4623196608621,Welsch
0.0001723549040773,671.4166299795198,Welsch
0.000175518463018,694.4547079847741,Welsch
0.0001786820219587,717.5592242330699,Welsch
0.0001818455808993,740.7151549882361,Welsch
0.00018500913984,763.9097963402255,Welsch
0.0001881726987807,787.1327329553145,Welsch
0.0001913362577214,810.3757605590312,Welsch
0.000194499816662,833.6327617831467,Welsch
0.0001976633756027,856.8995356837756,Welsch
0.0002008269345434,880.1735820638985,Welsch
0.0002039904934841,903.4538426997104,Welsch
