delta,Error
0.0,0.0003118990214010568
0.01,0.0013427319750670813
0.02,0.002287414915327401
0.03,0.003993566607048879
0.04,0.008724343141539269
0.05,0.015268926874934412
0.06,0.02213807770933199
0.07,0.05221882857911934
0.08,0.0612786524395975
0.09,0.5551567201440174
0.1,0.8341615468862984
