delta,Error
0.0,0.00040996423371437437
0.01,0.0006023702885364686
0.02,0.0022593543159523466
0.03,0.001708377276175297
0.04,0.003352419948970804
0.05,0.005418568148878258
0.06,0.014835410714778112
0.07,0.028564060012952273
0.08,0.061457466662628635
0.09,0.2998724636670286
0.1,0.9173593004579307
