delta,Error
0.0,0.0003273670079222708
0.01,0.0002531945939203392
0.02,0.00026697866249394535
0.03,0.00044903541537376205
0.04,0.0002958609404108394
0.05,0.0002442116274044325
0.06,0.00034534550825178744
0.07,0.00020755122745018208
0.08,0.00036715972767222894
0.09,0.00038694646168174263
0.1,0.00030179956518844596
