delta,Error
0.0,0.0007694605255576954
0.01,0.002050412511913638
0.02,0.0026073431874346666
0.03,0.0035960667454184546
0.04,0.00816128733924913
0.05,0.014422318283786009
0.06,0.02102687963451518
0.07,0.03825205144626343
0.08,0.06559708739392814
0.09,0.308731069488448
0.1,0.7483212367460619
