sigma;quad_error
1.0;0.00027400306520244065
1.4142135623730951;0.000252447802643712
1.7320508075688772;0.0002443879698255489
2.0;0.0002386294458593465
2.23606797749979;0.00023621624188327424
2.449489742783178;0.0002352915469351943
2.6457513110645907;0.000232472932565091
2.8284271247461903;0.00023244298571852186
3.0;0.00023208599583373317
3.1622776601683795;0.00023266231898660212
3.3166247903554;0.00023217652334583933
3.4641016151377544;0.0002323566921101593
3.605551275463989;0.00023094539743504893
3.7416573867739413;0.0002313177028559702
3.872983346207417;0.0002314372589606605
4.0;0.00023093112299092016
4.123105625617661;0.0002302885333315426
4.242640687119285;0.00023094082587525103
4.358898943540674;0.00022986116257857074
4.47213595499958;0.00022947130509861475
4.58257569495584;0.00022917103718844651
4.69041575982343;0.00022874536643840073
4.795831523312719;0.0002282132659431087
4.898979485566356;0.00022824202407566757
5.0;0.00022744698012605916
5.0990195135927845;0.00022766960627867072
5.196152422706632;0.00022734857187711068
5.291502622129181;0.00022643638312919143
5.385164807134504;0.00022667618772239095
5.477225575051661;0.00022624890116070567
5.5677643628300215;0.00022597865863049348
5.656854249492381;0.00022622361062867166
5.744562646538029;0.0002257684838578976
5.830951894845301;0.0002256666077025087
5.916079783099616;0.00022538115734093884
6.0;0.00022535366434785111
6.082762530298219;0.00022511339763018942
6.164414002968976;0.00022514943169624172
6.244997998398398;0.0002248022489567414
6.324555320336759;0.0002246264281455396
6.4031242374328485;0.00022464380515964494
6.48074069840786;0.00022448521652430168
6.557438524302;0.00022444697937305932
6.6332495807108;0.0002242938932201056
6.708203932499369;0.00022408927926941504
6.782329983125268;0.0002240841599710733
6.855654600401044;0.00022402022000851877
6.928203230275509;0.00022378334827630525
7.0;0.0002236987242368384
7.0710678118654755;0.00022365707952974514
7.14142842854285;0.00022355656357231783
7.211102550927978;0.00022350551149506747
7.280109889280518;0.000223430429652923
7.3484692283495345;0.00022311331035878998
7.416198487095663;0.0002231613683013291
7.483314773547883;0.00022306477324909388
7.54983443527075;0.00022293874448001084
7.615773105863909;0.00022288376903426392
7.681145747868608;0.0002227853995758193
7.745966692414834;0.00022275003961838143
7.810249675906654;0.00022269170550614882
7.874007874011811;0.00022259937793575084
7.937253933193772;0.00022256530140882485
8.0;0.00022251874981530067
8.06225774829855;0.00022252887385789655
8.12403840463596;0.00022245439959682709
8.18535277187245;0.00022242506421444198
8.246211251235321;0.00022242769096599672
8.306623862918075;0.0002224101116115024
8.366600265340756;0.00022239749494679957
8.426149773176359;0.00022239657748963
8.48528137423857;0.00022228949089405823
8.54400374531753;0.00022229660759116103
8.602325267042627;0.00022225648112116506
8.660254037844387;0.00022223945951337318
8.717797887081348;0.00022220566332617933
8.774964387392123;0.0002221710159433235
8.831760866327848;0.00022218166583319487
8.888194417315589;0.00022217905051075834
8.94427190999916;0.00022214950953684272
9.0;0.00022217525058583398
9.055385138137417;0.00022216139410350205
9.1104335791443;0.0002221539950538159
9.16515138991168;0.00022215552131292404
9.219544457292887;0.00022211865272673675
9.273618495495704;0.00022215548991087088
9.327379053088816;0.00022212951491123797
9.38083151964686;0.0002221065355435886
9.433981132056603;0.0002221185158616676
9.486832980505138;0.00022209151101998615
9.539392014169456;0.0002220955162194675
9.591663046625438;0.0002220708005910214
9.643650760992955;0.0002220723315358279
9.695359714832659;0.00022205915758708
9.746794344808963;0.00022207295360261796
9.797958971132712;0.00022205429578659822
9.848857801796104;0.0002220618098606064
9.899494936611665;0.00022204653551961896
9.9498743710662;0.0002220487278214776
