delta,Error,std,itterations
0.0,0.0003118990214010568,0.03634567459533802,15.0
0.01,0.0013427319750670813,0.0477679274017529,13.6384
0.02,0.002287414915327401,0.06768848817815454,13.932
0.03,0.003993566607048879,0.09481814705561882,14.1938
0.04,0.008724343141539269,0.36628797526031465,14.5248
0.05,0.015268926874934412,0.8041160542862136,14.5718
0.06,0.02213807770933199,0.8478576971026622,14.5578
0.07,0.05221882857911934,1.631598830622014,14.3262
0.08,0.0612786524395975,4.646192846313477,14.5578
0.09,0.5551567201440174,19.59677984994532,14.8242
0.1,0.8341615468862984,26.43846667204545,14.7982
