delta;Error;hyperparam
0.0;0.0022530521679691652;1.5
0.01;0.004821783521647748;1.4
0.02;0.005596553064981774;1.3
0.03;0.006883535611896767;1.2
0.04;0.006969324799147363;1.1
0.05;0.010395652221337636;1.0
0.06;0.009745879073578633;0.9
0.07;0.010426072252621068;0.7999999999999999
0.08;0.01225490056918396;0.7
0.09;0.012417606003651416;0.6000000000000001
0.1;0.012672782564472107;0.5
0.11;0.012855996605514747;0.3999999999999999
